reviewId,content,score
7fd5934c-cc74-4c91-8be1-8fba9427e043,"apk apaan, next lagu bayar, lagu rata rata vip, masih banyak apk musik selain joox!",1
a16c08e0-57c3-4f38-b496-e0d4bee65bbd,woy gbsa dibuka bjir,3
eb5dc929-11b1-49e2-b459-a931974bc6e0,good...is the bestt..,5
797614ee-7cc3-4601-beef-a0a68847a62c,puas sama apk ini mah 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🫶🫶🫶🫶🫶,5
023ff11b-14e3-4d5f-b36a-6475986daf1e,keren,5
c843de13-0225-426a-866c-143f72820edb,ahhh aplikasi musik tapi byk yg ga bisa disetel lagunya. dengerin lagu harus berbayar semua.. payahhh,1
053d1f6d-83e8-4927-b2f0-cb1f7b238801,best of the best,5
337adaad-040e-4a06-8a7b-45caf74ecaec,Ok,5
00a8e706-5ad0-4b41-aced-aaa639948142,sangat baguss,5
f42a1ba9-bc35-4051-9057-335af2eaec11,akhirnya update nih joox udah gak leg masuk denger musik tapi masih kurang musik apk udah lama nih dari Spotify masa kalah sama Spotify yg lengkap musik nya seharusnya lebih berkembang nih joox dari Spotify Jagan kalah dari apk lain update musik viral .dari Jenni Lisa dan lainnya joox kalo joox udah dirasa lengkap bakal kasih full Bintang,3
91370b93-b18d-429b-9695-c0bc8d9fa669,bagus,5
98eaf1dd-835c-457e-8d34-2dd4e31bb686,mantapppp,5
baaf8f21-1052-4689-8fe1-62f1a89c8883,kurang free nya,5
fb3de862-af36-414e-ac1f-22aac53d25e7,"gw kasih bintang satu, karena apa? ya karena apk nya jelek katanya joox kalo ngunduh lagu bisa dengerin secara offline tanpa berlangganan. ternyata sama aja kek apk sebelah, mending apk sebelah suara jernih ga kek joox burik!! nyesel gw donwload nih apk",1
e50ec5fe-ea30-4c3d-a588-66559253729e,APLIKASI BOSOK HARUS BERBAYAR SAYA MENYESAL DONLOD ... Padahal dulu mudah gratis pula.,1
820b9f36-fbc8-49f6-852c-f83209f406f2,kurang komplit lagunya,4
4f7deeb5-33f8-44ef-9955-dcb102ba5604,mantap,4
dda78124-f049-4790-a972-4a3a487b8145,ok,5
5e962589-a9b3-4940-b71f-52f273259886,Ok bosquh,5
a0f44f53-64e7-4a4a-8294-91f2b20543fd,mantap,5
188bf0ef-f88c-4007-9515-670a20f88301,ok,5
34530c44-1da2-4d3b-a5e8-56d0ad68efb9,mantap musiknya joxx,5
fa402a82-e515-4ce4-b270-628709488b84,lagunya kurang lengkap,4
a141b816-ec05-4f94-866e-7c1f61eaa2ee,keren sih,5
088dbfa7-481e-4d4b-a44a-61237db9c743,kereen,5
ae133257-937a-46e8-aa78-b703598ecd92,"anjir bagus banget cooooo lagunya bagus,bisa bikin playlist sendiri lagi,pokok nya bintang⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐",5
1edc9f5b-834f-4a3c-a5a0-49a99b89a5df,masalahnya kurang lengkap untuk daftar putar ny... musik lama barat sama indo di pencarian g ada🧐 kalaupun ada itupun cover😑itu musik yg udah didownload terkadang patah²🫥putar musik online ko pindah musik aneh² joox🥴😖😤,3
a960a006-3be5-46ea-8ee8-faea34b08289,Good,5
df21fa4a-7fc4-459f-ae61-7e7c2aa6a38a,"jelek tambah jelek, nge-crash terus gak kaya dulu",1
e42fa867-3dda-4606-881a-f28c25993ec3,bagus,5
9654dbb9-0217-480d-ad29-0d8497128934,bosssss,5
33442206-c29c-47a4-b6c0-7360750ba146,the best,4
5da617e5-4355-452c-8530-67e2946c2a04,mantul,5
bca6f5da-57e1-402f-8f07-eb8efe2ce6c3,mantap ni joox,5
06c75ccf-32c2-414f-af93-4bd72c622eaf,parah..,1
51c8d5cc-8e3f-4081-9175-64f78d79b18a,mantap,5
a55f1542-5fcd-473c-b53f-2ee558a3bead,banyak iklan nya apk busuk,1
9f80e7dd-856d-43d2-beba-bdc42c31b944,lagu2nya tdk lengkap..banyak lagu hits yg tdk ada di list..padhl dulu kt mudah menemukan lagu2 favorit sekarang bnyk yg tdk ada..apakah ini terkait hak cipta???,2
7c9cdf64-160a-40bf-8ab2-7f98f0e86910,masih yang terbaik dari Aplikasi musik lainnya,5
672ad979-2cfd-4a30-b478-1633b9487b0b,lagu tidak selengkap dulu buffering sangat lama untuk sekarang saya lebih memilih Tidal daripada joox tolong dilengkapi lagu nya dan ada beberapa lagu tidak bisa berputar,1
2712c7d0-4309-4485-8df8-257139694917,"hi-res nya yg bikin betah. meski ga ori2 bgt. sy pake TES liberty 4 24bit jadi bisa bandingin. dan kualitas CD nya 95% mirip aslinya. sayangnya koleksinya masih kurnag, dimaklumi untuk dapet file yg kwalitas tinggi emang sulit kecuali dari publisher langsung.",5
6a3a43c5-a987-4ef4-9ad6-02f0116843bc,terlalu bnyak y vip,3
7327a108-69e4-4a7e-a749-f5a45d751515,aplikasi musik yang sangat bagus,5
38a9d823-d7e8-4e20-903b-ce8c24509adc,"suka aplikasinya,tetap pertahankan kualitas nya yaa",5
4f912629-0b4b-42bd-9c8e-4b34d03f23ce,"sekarang jelek, Saya pengguna awal realase, bagus, kedepan lagu malah pada hilang, iklan free VIP Beberapa jam juga udah ga ada. payah.",1
db48d467-ae58-4d9b-86cb-c9ed7f3fb9d7,MADEP LAH,5
233d7e74-2d03-4462-a9cc-1c6fec9f82a1,"saya tes dulu,klo bagus sy kasi bintang lima",3
9b700919-721a-41fa-805b-a906ed909ea2,sound efek keren,5
4e768c74-b586-4201-8003-4374a1e85d7e,bagus aplikasinya,5
33fe0bd7-a4a2-4c37-8d49-a7828cba1c39,"ga jelas,suruh berbayar Mulu....cakepan yg dulu ga ribet",1
fa1420a5-ea25-45c7-aea3-6cffd61013af,aplikasi jual iklan pinjol. apk jelek,1
f81514cc-2396-429c-b338-2cc462e93ea3,mantap,5
2f75570c-3551-470d-8dec-39e3122dfc1b,bagus...,5
5080f659-2240-4b53-86c0-c6abbeb72c01,Terimakasih aku suka,5
a002ca11-1a0d-41ff-b583-93e04672facb,mantap kali dah😁😁,5
a43f27af-8b53-4c09-bd16-c89a8710f092,aplikasinya ok 👍🏻,5
bec11a43-3e9b-4c7c-8441-8f35057b63af,mantap habis... ga nyesel download jook,5
9b10371d-4aa2-4277-b34f-009f612e8068,good,5
c813174d-0973-4df5-ab8e-1d5a5256d1b6,mantaff,5
a4312d3b-acd7-4887-bcc1-37d90520c4bc,ok,5
71af2d46-56b7-40bc-a3f2-7808b607ba10,gak bisa di update min,5
9b473b6c-3519-42d2-802b-8484bd2d8aee,mantap,5
7b097c7e-5b9d-4ffb-abd1-a849f4894406,berbayar,1
4abe9dae-eabd-46e2-953b-55e1c0f75c19,sangat menghibur,5
397f08cd-f816-4dd0-bbea-153c53a66a2c,bagus,5
ce71b160-2e8f-4e0d-a711-e7ad071c3a65,baik,5
e63e005e-0b7c-431d-bcc8-bf13c60eafc2,bagus,5
6e696db4-a41a-4f1f-bd79-c534427a94a5,"terlalu banyak lagu cover dibanding penyanyi aslinya, hadeh",1
1e2962f0-987e-4f11-b8d4-f3e22fd804eb,sederhana,5
ffbc58f9-b781-4249-9f0d-2dd3a328f2d9,nyesel sempet langganan...krn banyak lagu yg ngga bisa diputar/muncul kode error waktu diputar...selain itu loading library lama banget,1
3ca94a7e-2bef-4bb7-846d-008c8e508d56,Good,5
21a81206-b3ce-40c3-b96d-9ffe8587dc19,sangat bagus apk joox,5
4766ddcb-be8f-4c0e-be2b-25fe61831767,bagus,5
318c7eff-04d9-483f-9666-621d64188734,semuanya full keren mantap,5
b35fad4f-a6ce-47c9-b733-91953c2ab40b,aneh,1
94e8561e-2fbc-4ed9-aebd-d22f7a1811d4,kemana semua lagu lagunya?,2
7d421c94-5e18-4bc6-a1d5-7665c9198d82,"Jadi kurang lengkap, mohon pas pembaharuan yang terbaru di tambah beberapa lagu yang lagi populer 😭😭😭🙏🙏",4
597062eb-d34b-45e7-b6b9-741c641c884e,banyak lagu tidak tersedia lagi kenapa ya?,5
154bb708-da80-430b-a05b-70aa096893a3,mantap,5
261d8636-1d3e-4327-bb05-55832af6aea9,keren,5
34ef9a93-954a-450c-a57f-4ee8408ae9e2,jelek,1
b49eed69-8b64-4083-84e4-c90e47c0a04b,"kalo dari segi fiturnya sih banyak yg bagus ,tapiii kalo dari lagu-lagu nya kurang kumplit saran aja yaa kak tolong perbanyakin lagi lagu-lagu nya .terimakasih",3
4973b53e-b8c6-4ada-b38b-0fc3a484c494,top,5
101ef70c-f938-42eb-97c5-67f8aed36fab,GK usah didownload isinya iklan doang semua berbayar,1
